Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
24/04/2023 15:54:46,"1049","21.8","40","999.7"
24/04/2023 15:55:46,"1050","21.8","40","999.8"
24/04/2023 15:56:46,"1054","21.8","41","999.7"
24/04/2023 15:57:46,"1070","21.8","40","999.6"
24/04/2023 15:58:46,"1081","21.8","40","999.7"
24/04/2023 15:59:46,"1052","21.8","40","999.8"
24/04/2023 16:00:46,"1082","21.8","40","999.7"
24/04/2023 16:01:46,"1076","21.8","40","999.6"
24/04/2023 16:02:46,"1059","21.8","40","999.7"
24/04/2023 16:03:46,"1088","21.8","40","999.8"
24/04/2023 16:04:46,"1082","21.9","41","999.6"
24/04/2023 16:05:46,"1073","21.9","40","999.7"
24/04/2023 16:06:46,"1088","21.8","40","999.7"
24/04/2023 16:07:46,"1073","21.8","40","999.6"
24/04/2023 16:08:46,"1082","21.8","40","999.8"
24/04/2023 16:09:46,"1092","21.8","40","999.7"
24/04/2023 16:10:46,"1084","21.8","41","999.6"
24/04/2023 16:11:46,"1067","21.9","40","999.6"
24/04/2023 16:12:46,"1065","21.8","40","999.6"
24/04/2023 16:13:46,"1078","21.8","40","999.5"
24/04/2023 16:14:46,"1110","21.8","40","999.6"
24/04/2023 16:15:46,"1092","21.8","41","999.7"
24/04/2023 16:16:46,"1088","21.8","40","999.7"
24/04/2023 16:17:46,"1096","21.8","40","999.7"
24/04/2023 16:18:46,"1091","21.8","41","999.6"
24/04/2023 16:19:46,"1094","21.8","41","999.7"
24/04/2023 16:20:46,"1085","21.8","41","999.8"
24/04/2023 16:21:46,"1086","21.8","41","999.7"
24/04/2023 16:22:46,"1087","21.8","41","999.7"
24/04/2023 16:23:46,"1097","21.8","41","999.6"
24/04/2023 16:24:46,"1105","21.8","41","999.8"
24/04/2023 16:25:46,"1095","21.8","41","999.8"
24/04/2023 16:26:46,"1104","21.8","41","999.7"
24/04/2023 16:27:46,"1111","21.8","41","999.8"
24/04/2023 16:28:46,"1125","21.8","40","999.7"
24/04/2023 16:29:46,"1110","21.8","40","999.7"
24/04/2023 16:30:46,"1104","21.8","40","999.7"
24/04/2023 16:31:46,"1114","21.8","40","999.8"
24/04/2023 16:32:46,"1092","21.8","40","999.8"
24/04/2023 16:33:46,"1103","21.8","40","999.8"
24/04/2023 16:34:46,"1114","21.8","40","999.7"
24/04/2023 16:35:46,"1088","21.8","40","999.8"
24/04/2023 16:36:46,"1079","21.8","41","999.7"
24/04/2023 16:37:46,"1084","21.8","40","999.8"
24/04/2023 16:38:46,"1118","21.8","40","999.8"
24/04/2023 16:39:46,"1086","21.8","40","999.8"
24/04/2023 16:40:46,"1119","21.8","40","999.7"
24/04/2023 16:41:46,"1121","21.8","40","999.8"
24/04/2023 16:42:46,"1121","21.8","40","999.8"
24/04/2023 16:43:46,"1125","21.8","40","999.9"
24/04/2023 16:44:46,"1123","21.8","40","999.9"
24/04/2023 16:45:46,"1134","21.8","40","999.9"
24/04/2023 16:46:46,"1109","21.8","41","999.9"
24/04/2023 16:47:46,"1134","21.8","41","999.9"
24/04/2023 16:48:46,"1111","21.8","41","999.8"
24/04/2023 16:49:46,"1143","21.8","41","999.8"
24/04/2023 16:50:46,"1125","21.8","40","999.8"
24/04/2023 16:51:46,"1154","21.8","41","999.9"
24/04/2023 16:52:46,"1162","21.8","41","999.9"
24/04/2023 16:53:46,"1124","21.8","41","999.8"
24/04/2023 16:54:46,"1137","21.8","41","1000.0"
24/04/2023 16:55:46,"1133","21.9","41","999.8"
24/04/2023 16:56:46,"1130","21.8","41","999.8"
24/04/2023 16:57:46,"1159","21.9","41","999.9"
24/04/2023 16:58:46,"1142","21.8","41","999.9"
24/04/2023 16:59:46,"1142","21.8","41","999.8"
24/04/2023 17:00:46,"1141","21.8","41","1000.0"
24/04/2023 17:01:46,"1135","21.8","40","999.8"
24/04/2023 17:02:46,"1141","21.9","41","999.9"
